URL,Name,Is_ISA_Compatible,Ticker,SEDOL_ID,Sector,ETF_Type,Top10_Exposures,Currency,Open_price,Year_low,Year_high,Dividend_yield,PE_ratio,Market_capitalisation,Volume,GBP_Open,GBP_Year_low,GBP_Year_high,GBP_Market_capitalisation
https://www.hl.co.uk/shares/shares-search-results/a/abrdn-physical-gold-shares-etf,Abrdn Physical Gold Shares ETF,FALSE,SGOL,BFZ02K3,ETF 1x,ETC - Metals,None,USD,41.79,34.5,41.79,0%,0,0,1110601,30.92783831,25.53267341,30.92783831,0
https://www.hl.co.uk/shares/shares-search-results/a/abrdn-european-logistics-income-plc-ord-1p,Abrdn European Logistics Income Plc Ord 1p,TRUE,ASLI,BD9PXH4,Trust,## Not ETF,Investment Properties (132.93461%),GBX,10.64,10,10.64,79.17%,99999.99,45,813654,0.10640000000000001,0.1,0.10640000000000001,0.45
https://www.hl.co.uk/shares/shares-search-results/a/abrdn-global-infrastructure-income-fund,abrdn Global Infrastructure Income Fund,FALSE,ASGI,BMYJCY4,Unspecified,## Not ETF,None,USD,21.9,20.1001,21.9,12.01%,7.98,699.95,156106,16.20769703,14.875631556749001,16.20769703,518.0172391
https://www.hl.co.uk/shares/shares-search-results/a/abrdn-global-premier-properties-fund-ord,abrdn Global Premier Properties Fund Ord,TRUE,AWP,BRBSC61,Unspecified,## Not ETF,None,USD,11.16,10.665,11.16,12.95%,54.09,347.13,12547,8.259264788,7.892926430849999,8.259264788,256.9030991
https://www.hl.co.uk/shares/shares-search-results/a/abrdn-life-sciences-investors-usd0.01,Abrdn Life Sciences Investors USD0.01,TRUE,HQL,BRKXFM4,Unspecified,## Not ETF,None,USD,19.86,13.88,19.86,11.32%,6.83,618.5,9736,14.69793895,10.27227556,14.69793895,457.7379276
https://www.hl.co.uk/shares/shares-search-results/a/abrdn-property-income-trust-ltd-ord-1p,Abrdn Property Income Trust Ltd Ord 1p,TRUE,API,3387528,Trust,## Not ETF,None,GBX,1.61,1.4,1.61,57.40%,99999.99,7.2,91471,0.0161,0.013999999999999999,0.0161,0.072
https://www.hl.co.uk/shares/shares-search-results/a/abrdn-total-dynamic-dividend-fund-npv,abrdn Total Dynamic Dividend Fund NPV,TRUE,AOD,BG1Z6Q3,Unspecified,## Not ETF,None,USD,10.55,8.765,10.55,11.80%,0,1120000000,75632,7.80781752,6.486779199850001,7.80781752,828886788.8
https://www.hl.co.uk/shares/shares-search-results/a/abrdn-world-healthcare-fund-ben-int-usd,Abrdn World Healthcare Fund BEN INT USD,TRUE,THW,BYRYKW4,Unspecified,## Not ETF,None,USD,13.63,11.18,13.63,10.37%,9.74,544.66,7604,10.087256188700001,8.274066338199999,10.087256188700001,403.0906057
https://www.hl.co.uk/shares/shares-search-results/a/absci-corp-usd0.0001,Absci Corp USD0.0001,TRUE,ABSI,BN94K69,Unspecified,## Not ETF,None,USD,8.38,2.245,8.38,0%,0,1530000000,564020,6.201849366,1.6614739650500001,6.201849366,1132318560
https://www.hl.co.uk/shares/shares-search-results/a/abundia-global-impact-group-inc-usd0.001,Abundia Global Impact Group Inc USD0.001,TRUE,AGIG,BS55NB7,Unspecified,## Not ETF,None,USD,1.18,0.83,1.18,0%,0,51.21,92202,0.873291438,0.6142643166999999,0.873291438,37.89936826
https://www.hl.co.uk/shares/shares-search-results/a/abvc-biopharma-inc-usd1.001,ABVC Biopharma Inc USD0.001,TRUE,ABVC,BM8K061,Unspecified,## Not ETF,None,USD,1.01,0.7069,1.01,0%,0,28.25,97687,0.747478265,0.523160778,0.747478265,20.90718909
https://www.hl.co.uk/shares/shares-search-results/a/ac-immune-sa-chf0.02,AC Immune SA CHF0.02,TRUE,ACIU,BZC0D70,Unspecified,## Not ETF,None,USD,2.7,2.095,2.7,0%,0,273.77,33443,1.9982092230000001,1.550462342,1.9982092230000001,202.61101443729999
https://www.hl.co.uk/shares/shares-search-results/a/acdc-battery-metals-inc-npv,AC/DC Battery Metals Inc NPV,TRUE,ACDC,BSQLCZ1,Unspecified,## Not ETF,None,CAD,0.03,0.025,0.03,0%,0,1.55,2100,0.016026461,0.013355384,0.016026461,0.828033793
https://www.hl.co.uk/shares/shares-search-results/a/acacia-research-corp-com-stk-usd0.001,Acacia Research Corp COM STK USD0.001,TRUE,ACTG,2169589,Unspecified,## Not ETF,None,USD,4.61,3.13,4.61,0%,33.98,445,61098,3.4117572289000004,2.316442544,3.4117572289000004,329.3344831
https://www.hl.co.uk/shares/shares-search-results/a/academedia-ab-npv,AcadeMedia AB NPV,TRUE,ACAD,BDHFV61,Unspecified,## Not ETF,None,SEK,101,85.5,101,2.30%,9.94,9370000000,120101,7.710217790000001,6.5269665450000005,7.710217790000001,715294462.3000001
https://www.hl.co.uk/shares/shares-search-results/a/academy-sports-and-outdoors-inc-usd0.01,Academy Sports & Outdoors Inc USD0.01,TRUE,ASO,BN7K304,Unspecified,## Not ETF,None,USD,54.91,41.32,54.91,1.11%,9.87,2770000000,881489,40.63765498,30.58000189,40.63765498,2050014647
https://www.hl.co.uk/shares/shares-search-results/a/acadia-healthcare-company-inc-usd0.01,Acadia Healthcare Company Inc USD0.01,TRUE,ACHC,B65VZ37,Unspecified,## Not ETF,None,USD,28.96,11.44,28.96,0%,0,2560000000,290305,21.432644110400002,8.466486485599999,21.432644110400002,1894598374
https://www.hl.co.uk/shares/shares-search-results/a/acadia-pharmaceuticals-com-stk-usd0.0001,Acadia Pharmaceuticals Com Stk USD0.0001,TRUE,ACAD,2713317,Unspecified,## Not ETF,None,USD,27.98,19.69,27.98,0%,12.09,4750000000,385479,20.70736817,14.57212578,20.70736817,3515368078
https://www.hl.co.uk/shares/shares-search-results/a/acanthe-developpement-sa-npv,Acanthe Developpement SA NPV,TRUE,ACAN,7128961,Unspecified,## Not ETF,None,EUR,0.21,0.2,0.21,4.76%,0,34.72,15581,0.18028720709999999,0.17170210200000002,0.18028720709999999,29.80748491
https://www.hl.co.uk/shares/shares-search-results/a/acast-ab-npv,Acast AB NPV,TRUE,ACAST,BN0ZNV7,Unspecified,## Not ETF,None,SEK,33.7,22.75,33.7,0%,0,6160000000,123103,2.5726172230000004,1.736707473,2.5726172230000004,470246946.40000004
https://www.hl.co.uk/shares/shares-search-results/a/accel-entertainment-inc-usd0.0001,Accel Entertainment Inc USD0.0001,TRUE,ACEL,BK7FYL6,Unspecified,## Not ETF,None,USD,11.65,9.55,11.65,0%,19.18,949.15,130839,8.621902758500001,7.06774003,8.621902758500001,702.4445496
https://www.hl.co.uk/shares/shares-search-results/a/acceler8-ventures-plc-ord-gbp0.01,Acceler8 Ventures plc ORD GBP0.01,TRUE,AC8,BNG2DL2,Unspecified,## Not ETF,None,GBX,67.5,67.5,67.5,0%,0,546.42,189955,0.675,0.675,0.675,5.4642
https://www.hl.co.uk/shares/shares-search-results/a/accelerant-holdings-usd0.0001,Accelerant Holdings USD0.0001,TRUE,ARX,BVPDLS5,Unspecified,## Not ETF,None,USD,19.86,9.18,19.86,0%,0,4310000000,350530,14.69793895,6.793911358,14.69793895,3189733982
https://www.hl.co.uk/shares/shares-search-results/a/accelleron-industries-ag-chf1,Accelleron Industries AG CHF1,TRUE,ACLN,BNM73Q6,Unspecified,## Not ETF,None,CHF,74.9,60.7,74.9,2.00%,34.97,7110000000,130172,68.05482458600001,55.1525748,68.05482458600001,6460210985.400001
https://www.hl.co.uk/shares/shares-search-results/a/accelleron-industries-ag-adr,Accelleron Industries AG ADR,TRUE,ACLLY,BP0BQR6,Unspecified,## Not ETF,None,USD,90.59,76.1701,90.59,2.07%,0,0,344,67.04361982,56.371776421049006,67.04361982,0
https://www.hl.co.uk/shares/shares-search-results/a/accendra-health-inc-usd2,Accendra Health Inc USD2,TRUE,ACH,2665128,Unspecified,## Not ETF,None,USD,1.11,0.9338,1.11,0%,0,82.29,160896,0.8214860139000001,0.6910843601619999,0.8214860139000001,60.900976652100006
