URL,Name,Is_ISA_Compatible,Ticker,SEDOL_ID,Sector,ETF_Type,Exchange,Country,Indices,Currency,Open_price,Year_low,Year_high,Dividend_yield,PE_ratio,Market_capitalisation,Volume,GBP_Open,GBP_Year_low,GBP_Year_high,GBP_Market_capitalisation
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-msci-world-quality-ucits-etf-1c,Xtrackers  MSCI World Quality UCITS ETF 1C  (XDEQ),True,XDEQ,BRCJ8J8,ETF 1x,Portfolios: Quality,London Stock Exchange,,,GBX,5175,4027,5185,0%,0,0,4458,51.75,40.27,51.85,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-msci-world-esg-screened-ucits-etf,Xtrackers  MSCI World ESG Screened UCITS ETF 1D  (XDWY),True,XDWY,BFMG5Y9,ETF 1x,ESG,London Stock Exchange,,,USD,21.93,17.45,22.22,0%,0,0,200,17.202567254759234,13.68831730941854,17.43005218425673,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-msci-world-index-ucits-etf,Xtrackers  MSCI World Index UCITS ETF  (XMWD),True,XMWD,B24CVW4,ETF 1x,Index,London Stock Exchange,,,USD,103.64,80.63,105.01,0%,0,0,1246,81.29840721765832,63.24865470821874,82.37307740183617,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-msci-europe-health-care-esg-scree,Xtrackers  MSCI Europe Health Care ESG Screened UCITS ETF 1C  (XSDR),True,XSDR,B39DXC3,ETF 1x,ESG,London Stock Exchange,,,GBX,19248,16244,19376,0%,0,0,20,192.48000000000002,162.44,193.76,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-ftse-250-ucits-etf-dr,Xtrackers  FTSE 250 UCITS ETF (DR)  (XMCX),True,XMCX,B1WK0B5,ETF 1x,Index,London Stock Exchange,,,GBX,1838,1602.2,1880.2,0%,0,0,571,18.38,16.022000000000002,18.802,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-msci-korea-index-ucits-etf,Xtrackers  MSCI Korea Index UCITS ETF (DR)  (XKS2),True,XKS2,B1WKZ76,ETF 1x,Index,London Stock Exchange,,,GBX,6407.5,5410,6431,0%,0,0,0,64.075,54.1,64.31,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-x-msci-eu-cons-staples-esg-etf,Xtrackers  X MSCI EU Cons Staples ESG UCITS ETF  (XS3R),True,XS3R,B39DXQ7,ETF 1x,ESG,London Stock Exchange,,,GBX,12934,12432,14780,0%,0,0,182,129.34,124.32000000000001,147.8,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-msci-india-index-ucits-etf,XTrackers  MSCI India Index UCITS ETF  (XCX5),True,XCX5,B41JFV9,ETF 1x,Regional,London Stock Exchange,,,GBX,1538.5,1161,1582.5,0%,0,0,5995,15.385,11.61,15.825000000000001,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-msci-malaysia-index-etf-dr,Xtrackers  MSCI Malaysia Index UCITS ETF (DR)  (XCS3),True,XCS3,B40BG46,ETF 1x,Regional,London Stock Exchange,,,USD,10.43,9.22,10.48,0%,0,0,0,8.181613153996297,7.232451896437762,8.220834693564832,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-euro-stoxx-50-ucits-dr-1d,Xtrackers  Euro STOXX 50 UCITS ETF (DR) 1D  (XESX),True,XESX,B2PDCG7,ETF 1x,Index,London Stock Exchange,,,GBX,4427,3636.5,4445,0%,0,0,7227,44.27,36.365,44.45,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-msci-thailand-index-etf-dr,Xtrackers  MSCI Thailand Index UCITS ETF (DR)  (XCX4),True,XCX4,B40BCN7,ETF 1x,Regional,London Stock Exchange,,,GBX,1600.75,1536,1934,0%,0,0,0,16.0075,15.36,19.34,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-msci-china-index-ucits-etf-dr,Xtrackers  MSCI China Index UCITS ETF (DR)  (XCX6),True,XCX6,B4LV9V3,ETF 1x,Regional,London Stock Exchange,,,GBX,1006.5,893.5,1248,0%,0,0,8936,10.065,8.935,12.48,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-msci-philippines-im-index-dr,Xtrackers  MSCI Philippines IM Index UCITS ETF (DR)  (XPHI),True,XPHI,B5VJL30,ETF 1x,Regional,London Stock Exchange,,,USD,1.64,1.36,1.67,0%,0,0,122,1.2864664978479317,1.0668258762641385,1.3099994215890522,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-msci-canada-index-esg-screened,Xtrackers  MSCI Canada Index ESG Screened UCITS ETF (DR)  (XCAD),True,XCAD,B5N33Z6,ETF 1x,ESG,London Stock Exchange,,,USD,76.5,62.35,77.65,0%,0,0,6547,60.00895553985779,48.90925984196252,60.911050949934086,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-ftse-developed-europe-real-estate,Xtrackers  FTSE Developed Europe Real Estate UCITS ETF  (XDER),True,XDER,B5QM0F9,ETF 1x,REIT & Property,London Stock Exchange,,,GBX,1868.1,1551.6,2070,0%,0,0,66,18.681,15.516,20.7,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-x-commodity-ex-agri-swap-ucits,Xtrackers  X Commodity Ex Agri Swap GBP UCITS ETF  (XDBG),True,XDBG,B6873M7,ETF 1x,ETC - Generic Commodities,London Stock Exchange,,,GBX,3269,2992,3398,0%,0,0,280,32.69,29.92,33.980000000000004,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-s-and-p-select-frontier,Xtrackers  S&P Select Frontier UCITS ETF  (XSFR),True,XSFR,B2PDL59,ETF 1x,Index,London Stock Exchange,,,GBX,1406.5,1163,1454.5,0%,0,0,406,14.065,11.63,14.545,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-msci-em-emea-esg-swap-ucits-etf,Xtrackers  MSCI EM EMEA ESG SWAP UCITS ETF  (XMXD),True,XMXD,B24CX06,ETF 1x,ESG,London Stock Exchange,,,USD,30.72,26.62,31.11,0%,0,0,1,24.097713910907597,20.88154766628777,24.403641919542167,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-dblci-oy-balanced-ucits-gbp,Xtrackers  X Commodity Ex Agri Swap GBP UCITS ETF  (XDBG),True,XDBG,B6873M7,ETF 1x,ETC - Generic Commodities,London Stock Exchange,,,GBX,3269,2992,3398,0%,0,0,280,32.69,29.92,33.980000000000004,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-s-and-p-500-swap-ucits-etf,Xtrackers  S&P 500 Swap UCITS ETF  (XSPX),True,XSPX,B690381,ETF 1x,Index,London Stock Exchange,,,GBX,7974,6208,7974,0%,0,0,7271,79.74,62.08,79.74,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-msci-mexico-index-ucits-dr,Xtrackers  MSCI Mexico Index UCITS ETF (DR)  (XMEX),True,XMEX,B42Y5M4,ETF 1x,Regional,London Stock Exchange,,,GBX,560,458.05,585.5,0%,0,0,12739,5.6000000000000005,4.5805,5.855,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-csi300-ucits-etf-class-1c,Xtrackers  CSI300 UCITS ETF Class 1C  (XCHA),True,XCHA,B89G2C0,ETF 1x,Not classified,London Stock Exchange,,,USD,13.42,11.81,15.94,0%,0,0,43224,10.52706122019466,9.26412764608785,12.503826814448798,0
https://www.hl.co.uk/shares/shares-search-results/x/xtrackers-ftse-100-ucits-etf-dr,Xtrackers  FTSE 100 UCITS ETF (DR)  (XDUK),True,XDUK,B921DR1,ETF 1x,Regional,London Stock Exchange,,,GBX,1152,1037.2,1152.2,0%,0,0,2233,11.52,10.372,11.522,0
